human	elegans
Q9H227	Q18758
Q9H237	Q22329
Q9H252	M1Z8A0
Q9H267	Q18891
Q9H269	Q11182
Q9H270	Q09600
Q9H2A2	Q18822
Q9H2C2	Q21765
Q9H2D1	Q21084
Q9H2E6	Q17330
Q9H2G9	Q21954
Q9H2H8	P52017
Q9H2M9	Q22670
Q9H2P9	Q17514
Q9H2S1	G5ECM0
Q9H2V7	O01927
Q9H2W6	C0VXV6
Q9H2Z4	Q9NLC2
Q9H300	Q9N3E5
Q9H307	Q95ZQ5
Q9H330	Q21453
Q9H3F6	Q18986
Q9H3H1	G5EBS1
Q9H3H5	Q9U1Z2
Q9H3J6	E5QCJ3
Q9H3K2	P91373
Q9H3L0	Q9XWC9
Q9H3M0	H2KZQ6
Q9H3N1	G5EC91
Q9H3P7	O62444
Q9H3S4	P30636
Q9H3S5	Q17515
Q9H3S7	H8ESG1
Q9H3Z4	E5QCE7
Q9H444	Q18886
Q9H446	O18131
Q9H477	Q19133
Q9H488	Q18014
Q9H490	Q22672
Q9H492	Q23536
Q9H4A6	Q9N3S8
Q9H4B0	Q93170
Q9H4G4	Q7YX44
Q9H4I3	H2KZA2
Q9H4K7	O45691
Q9H4L7	G5EDG2
Q9H4S2	Q9XVN4
Q9H501	Q20969
Q9H553	Q19265
Q9H583	Q23495
Q9H598	P34579
Q9H5I5	B9WRT3
Q9H5J4	P49191
Q9H5U6	O62214
Q9H5V9	Q95Q06
Q9H5Z1	Q9BKQ8
Q9H611	G5EFV7
Q9H694	Q21593
Q9H6E4	C0P287
Q9H6F2	Q9NA75
Q9H6K1	Q9BL99
Q9H6L2	Q22804
Q9H6P5	G5EF83
Q9H6Q4	Q9N392
Q9H6R4	Q95XY4
Q9H6R6	G5EFD8
Q9H6S0	Q20644
Q9H6T3	Q18405
Q9H6U6	Q8MQ22
Q9H6U8	P54002
Q9H6V9	Q93595
Q9H6W3	O01658
Q9H6Y2	G5EEZ4
Q9H7B2	Q9N3F0
Q9H7B4	Q8I4F7
Q9H7D7	Q965W8
Q9H7E2	Q965Q9
Q9H7F0	Q27533
Q9H7H0	P91862
Q9H7P6	Q17687
Q9H7X0	Q7YX26
Q9H7X7	Q9XUC2
Q9H7Z3	G5EG51
Q9H7Z6	Q9U3C3
Q9H7Z7	Q21925
Q9H840	A7LPI7
Q9H867	A7IQW5
Q9H871	Q22302
Q9H875	P41880
Q9H8M1	Q304F0
Q9H8M5	A3QM97
Q9H8P0	Q17428
Q9H8T0	Q9U1U4
Q9H8V3	Q9U364
Q9H8W4	P34657
Q9H8X2	Q9XXI1
Q9H8X9	Q9N5D8
Q9H8Y5	P34511
Q9H8Y8	Q9N3Y1
Q9H920	Q09251
Q9H936	Q93540
Q9H944	Q9N5A1
Q9H974	Q9NEU3
Q9H977	Q20197
Q9H993	O45417
Q9H9A7	G5EF82
Q9H9B4	Q22161
Q9H9C1	Q23288
Q9H9E3	Q95XZ0
Q9H9H4	O44158
Q9H9L3	Q9XXI3
Q9H9P8	Q9N4Z0
Q9H9S3	O18239
Q9H9T3	Q23651
Q9H9V9	Q14V35
Q9H9Y2	P54073
Q9H9Y4	O01426
Q9H9Y6	Q27493
Q9HA64	Q9U2U7
Q9HAB8	Q9BL36
Q9HAF1	Q8WQC3
Q9HAP2	P41846
Q9HAR2	G5EDW2
Q9HAS3	G5EE77
Q9HAU5	C2BR97
Q9HAV7	Q18421
Q9HB07	O17606
Q9HB14	F5GUD1
Q9HB40	G5EDP0
Q9HBG6	G5EFW7
Q9HBI1	O16785
Q9HBL7	Q9U3J2
Q9HBU6	Q22820
Q9HC07	H2KZK9
Q9HC24	Q11080
Q9HC35	O45487
Q9HC38	Q09253
Q9HCB6	Q19305
Q9HCC0	P34385
Q9HCC9	Q9TZD0
Q9HCE0	Q18892
Q9HCE6	Q21653
Q9HCE9	H2L2L3
Q9HCG7	Q8WQB2
Q9HCG8	Q17336
Q9HCH3	Q9XUB9
Q9HCK4	G5EBF1
Q9HCL2	Q22949
Q9HCM2	Q3V5K0
Q9HCM4	H2KZV9
Q9HCN4	P46577
Q9HCS7	P91175
Q9HCU5	Q21115
Q9HD20	P90747
Q9HD26	O18302
Q9HD33	Q2L6V2
Q9HD40	Q18953
Q9HD45	Q95Y24
Q9HD90	P46581
Q9HDC9	O62265
Q9NNZ3	P91014
Q9NP58	G5EFD4
Q9NP59	Q8IA95
Q9NP61	Q09531
Q9NP66	Q9XVG8
Q9NP72	Q8MXS1
Q9NP77	Q22453
Q9NP78	O44897
Q9NP80	Q8MXR3
Q9NP94	P91348
Q9NP97	Q22752
Q9NPA0	Q8WQG1
Q9NPB0	O01486
Q9NPB8	Q10003
Q9NPC2	O17185
Q9NPC7	G5EDU4
Q9NPD3	Q17533
Q9NPE3	Q9XVR8
Q9NPF4	Q9BL28
Q9NPF5	A8XQE0
Q9NPG2	Q19601
Q9NPH2	G5ED01
Q9NPI0	Q7YX41
Q9NPI1	Q17581
Q9NPI5	P91500
Q9NPJ3	Q18187
Q9NPJ8	Q9U757
Q9NPL8	I2HAE1
Q9NPQ8	Q9GSX9
Q9NPR9	Q18024
Q9NQ29	Q09217
Q9NQ33	Q10007
Q9NQ34	Q21960
Q9NQ40	Q3LFN0
Q9NQ50	Q9TZ90
Q9NQ55	O44991
Q9NQ89	Q8WQF9
Q9NQA5	Q9N3Y9
Q9NQB0	Q10666
Q9NQE7	P34528
Q9NQE9	D3KFR7
Q9NQG5	P34281
Q9NQH7	O61710
Q9NQL2	G5EGB3
Q9NQL9	Q18248
Q9NQP4	Q17435
Q9NQQ7	Q9N3S9
Q9NQR1	Q22795
Q9NQS7	G5EE37
Q9NQT4	G5EG59
Q9NQT5	Q93830
Q9NQW6	Q9XTT4
Q9NQW7	O44750
Q9NQW8	G5EEE2
Q9NQX3	G5EGH2
Q9NQX7	H2KZ11
Q9NQZ2	Q22046
Q9NQZ5	Q17764
Q9NQZ6	Q23665
Q9NR19	Q18496
Q9NR46	Q20005
Q9NR50	P80361
Q9NR82	Q8MQC5
Q9NRA0	Q18425
Q9NRA2	Q03567
Q9NRC1	Q19337
Q9NRC6	G5EFW3
Q9NRD5	O18246
Q9NRD8	O61213
Q9NRE1	G5ECC4
Q9NRF8	G5EC98
Q9NRF9	Q22798
Q9NRG0	Q9NAC5
Q9NRG4	Q09415
Q9NRH2	G5EFV2
Q9NRJ4	Q9BL53
Q9NRK6	O17895
Q9NRL2	Q9N5L9
Q9NRM2	Q20448
Q9NRN7	Q22171
Q9NRN9	Q18511
Q9NRP2	Q8MNU7
Q9NRP4	P91989
Q9NRR4	O01326
Q9NRW4	Q9TY00
Q9NRW7	H2KYN0
Q9NRX1	O18216
Q9NRX2	Q9N3F3
Q9NRX4	P90861
Q9NRX5	Q95XV3
Q9NRY4	O45611
Q9NS00	Q18515
Q9NS18	Q9N4P2
Q9NS23	Q22744
Q9NS69	O17287
Q9NS85	Q18932
Q9NS87	G5EBX0
Q9NSC2	G5EFF4
Q9NSD9	Q19713
Q9NSE4	E2JL04
Q9NSY1	G5ECQ3
Q9NT62	Q9N369
Q9NT68	G5EGQ6
Q9NTI5	G5EC05
Q9NTJ3	Q20060
Q9NTJ5	Q93641
Q9NTK5	P91917
Q9NTM9	P34630
Q9NTN3	Q18779
Q9NTX5	P91130
Q9NTZ6	Q9U304
Q9NU19	O45434
Q9NU22	O61851
Q9NUD9	O02164
Q9NUJ1	O17690
Q9NUJ3	G5ECL1
Q9NUL3	Q94239
Q9NUM3	Q9XVJ5
Q9NUP7	Q9XW93
Q9NUP9	A5PEX5
Q9NUQ2	Q95R12
Q9NUQ8	Q20306
Q9NUT2	Q9BL17
Q9NUW8	Q9TXV7
Q9NUY8	Q93534
Q9NV06	Q23494
Q9NV31	O01513
Q9NV58	B1Q249
Q9NV64	O01870
Q9NV70	Q20678
Q9NV79	O61706
Q9NV88	Q95ZM2
Q9NV96	H2L0H3
Q9NVA1	Q18485
Q9NVC6	Q9NAL4
Q9NVD3	Q9BPP1
Q9NVE7	Q18580
Q9NVG8	Q20436
Q9NVH1	P91243
Q9NVH2	G5EDW9
Q9NVH6	Q21526
Q9NVJ2	G5EDC6
Q9NVM4	Q9XW42
Q9NVM6	O17002
Q9NVM9	O44500
Q9NVN8	Q21086
Q9NVP1	O61815
Q9NVQ4	O01908
Q9NVS2	Q95PY4
Q9NVT9	Q9XUU5
Q9NVU0	Q23206
Q9NVU7	Q9NEU2
Q9NVV0	Q9NA73
Q9NVV4	Q23652
Q9NVV5	Q93354
Q9NVW2	Q9N5Y9
Q9NVX2	Q9TYV3
Q9NVZ3	Q9N489
Q9NW08	Q27492
Q9NW13	O62325
Q9NW64	Q22412
Q9NW68	Q965R9
Q9NWB7	Q93833
Q9NWH9	O62203
Q9NWK9	Q23644
Q9NWL6	Q21555
Q9NWM0	O76383
Q9NWS0	Q19965
Q9NWS8	G5EEZ0
Q9NWU1	Q6A1T5
Q9NWU5	Q9XX18
Q9NWV4	Q9BI88
Q9NWY4	O62291
Q9NWZ3	G5ECP4
Q9NWZ5	H2L2A8
Q9NWZ8	P34399
Q9NX18	Q9NA72
Q9NX20	Q22140
Q9NX24	Q9XXD4
Q9NX38	P34452
Q9NX55	G5ECC1
Q9NX58	Q09464
Q9NX62	Q5ZEQ3
Q9NX74	Q9XWJ9
Q9NXE8	G5EBT5
Q9NXG2	O61900
Q9NXH9	Q23270
Q9NXJ5	P90933
Q9NXR8	Q9XWJ8
Q9NXS2	G5EBT9
Q9NXV2	Q18776
Q9NXW2	Q17438
Q9NXW9	Q8MNT9
Q9NXZ2	Q9XVZ6
Q9NY12	Q9TYK1
Q9NY27	P91198
Q9NY33	G5ECW7
Q9NY43	Q22909
Q9NY57	Q21483
Q9NY61	Q9GUM5
Q9NY93	O17157
Q9NY99	Q5WRR6
Q9NYB9	Q10929
Q9NYG2	Q95X59
Q9NYG5	Q20052
Q9NYI0	G5EET6
Q9NYJ7	Q9TVY6
Q9NYK5	Q4W5T0
Q9NYL2	H2KZW3
Q9NYN1	A4UZ34
Q9NYP3	H2KYF1
Q9NYQ7	G5EDK5
Q9NYS0	Q19143
Q9NYU2	Q9GPA0
Q9NYV4	C8JQQ9
Q9NYV6	P48322
Q9NYZ1	Q18449
Q9NYZ2	Q23125
Q9NZ01	Q9N5Y2
Q9NZ42	Q9U357
Q9NZ43	Q9N598
Q9NZ45	A7LPG5
Q9NZ63	Q9XVH9
Q9NZ71	Q93575
Q9NZA1	Q8WQA4
Q9NZB8	Q20624
Q9NZC3	Q9UAW8
Q9NZC7	Q19062
Q9NZC9	Q8MNV7
Q9NZD2	H2L0G7
Q9NZI5	G5EDF0
Q9NZJ5	Q19192
Q9NZJ6	O18235
Q9NZM5	Q9NEU5
Q9NZN3	G5ECC3
Q9NZN8	Q10923
Q9NZS2	Q9XVS3
Q9NZV1	G5EF34
Q9NZV8	Q95XD1
Q9NZZ3	O16458
Q9P013	O45766
Q9P015	Q9BPN6
Q9P021	Q3S1J0
Q9P055	G5EBX4
Q9P086	Q9BI74
Q9P0I2	Q9U1X6
Q9P0J0	O44955
Q9P0J1	Q9N4M0
Q9P0K7	Q9BPN3
Q9P0K9	O18222
Q9P0L9	Q9U1S7
Q9P0N5	C8JQP7
Q9P0R6	Q22757
Q9P0U1	P34660
Q9P0X4	Q7Z003
Q9P0Z9	Q18006
Q9P126	H2KZ07
Q9P1Q0	Q22639
Q9P1U0	O17587
Q9P212	G5EFI8
Q9P215	Q7KX58
Q9P241	O18182
Q9P253	Q23194
Q9P272	Q18489
Q9P287	Q23402
Q9P2B4	Q95QQ9
Q9P2D1	O61845
Q9P2D3	O01485
Q9P2D6	H2KYM6
Q9P2D8	P42173
Q9P2E2	P46873
Q9P2E3	E9P860
Q9P2G9	G5ED84
Q9P2H3	G5EGF0
Q9P2I0	O17403
Q9P2J5	Q09996
Q9P2K1	Q21303
Q9P2K5	Q9XVS2
Q9P2K8	D0Z5N4
Q9P2L0	Q18859
Q9P2M4	Q21928
Q9P2N4	Q19791
Q9P2N5	Q10954
Q9P2Q2	G5ECW4
Q9P2R3	O45398
Q9P2R6	Q09228
Q9P2R7	P53588
Q9P2U7	P34644
Q9P2W3	G5ECT6
Q9P2X3	Q9XWF4
Q9UBB9	Q17784
Q9UBC0	O45080
Q9UBC2	Q9BIF4
Q9UBE0	Q17820
Q9UBE8	Q9U9Y8
Q9UBF2	Q22498
Q9UBF6	P91404
Q9UBF8	Q20077
Q9UBH6	Q9XX10
Q9UBI4	G5ED76
Q9UBJ2	O45730
Q9UBK8	Q17574
Q9UBK9	Q20070
Q9UBL3	Q9XXH4
Q9UBN4	Q8I6Y9
Q9UBN7	Q20296
Q9UBP0	Q8MNV0
Q9UBP6	Q23126
Q9UBP9	O76337
Q9UBQ0	Q86D99
Q9UBQ5	Q9XUP3
Q9UBR1	Q19437
Q9UBR2	G5EGP8
Q9UBR4	P20271
Q9UBS3	Q22138
Q9UBS4	Q8MPX3
Q9UBS5	H2L0Q3
Q9UBS8	Q20871
Q9UBT2	Q9NAN1
Q9UBT6	P34409
Q9UBT7	H2L011
Q9UBU8	A7DTF0
Q9UBU9	Q9XVS7
Q9UBV2	G5EFG0
Q9UBV4	G5EG05
Q9UBV7	P34548
Q9UBX1	O16454
Q9UBX3	G5EE96
Q9UBZ9	Q09615
Q9UDR5	O44503
Q9UDX5	Q8T3C8
Q9UDY2	Q8I103
Q9UDY8	G5EG87
Q9UEE9	P90867
Q9UEW3	Q9XWR2
Q9UEW8	G5EEN4
Q9UF02	G5EDT2
Q9UF56	Q6A590
Q9UG01	Q22830
Q9UG56	Q10949
Q9UG63	G5EFG4
Q9UGB7	Q65CM5
Q9UGC6	P49808
Q9UGC7	O44568
Q9UGH3	Q18771
Q9UGI8	Q17525
Q9UGM1	Q9N5U8
Q9UGM6	P46579
Q9UGP8	Q9U1V9
Q9UGQ2	Q93533
Q9UGT4	P34501
Q9UGV2	Q9U283
Q9UH73	Q93705
Q9UH77	G5EGS4
Q9UH90	O17324
Q9UH92	Q9TZ70
Q9UHA3	Q17606
Q9UHB4	M1ZMI3
Q9UHB9	Q20822
Q9UHD1	G5EEI8
Q9UHG0	Q69Z08
Q9UHJ6	O45814
Q9UHJ9	Q22141
Q9UHK6	Q18122
Q9UHP3	Q09931
Q9UHV7	Q93442
Q9UHV9	Q9N5M2
Q9UHW5	Q9XW68
Q9UHW9	H2KZC2
Q9UHX1	Q9N3S4
Q9UHY1	G5ED17
Q9UHY7	Q21012
Q9UHY8	E0AHC6
Q9UI09	Q9N2W7
Q9UI10	G5EFF9
Q9UI12	Q22494
Q9UI15	O44788
Q9UI17	Q6AW03
Q9UI30	O45241
Q9UI43	O62251
Q9UIA9	Q18476
Q9UIC8	P46554
Q9UID3	O01839
Q9UIF8	Q23590
Q9UIG8	Q20538
Q9UII2	O44441
Q9UIJ5	Q8I0G4
Q9UIV1	Q17345
Q9UJ41	Q8I100
Q9UJ68	O02089
Q9UJ70	Q23195
Q9UJ83	Q17474
Q9UJA2	O01916
Q9UJA5	Q94416
Q9UJC3	Q23529
Q9UJG1	Q18438
Q9UJK0	Q95X18
Q9UJM8	B1GRK5
Q9UJQ7	Q23655
Q9UJV9	Q9N5K1
Q9UJW0	Q18194
Q9UJX2	Q19294
Q9UJX4	Q95Q00
Q9UJX6	P34514
Q9UJY5	Q23165
Q9UJZ1	H2FLJ1
Q9UK41	Q9NA26
Q9UK45	Q23543
Q9UK58	G5EBX3
Q9UK59	Q966M6
Q9UKB1	Q09990
Q9UKB3	Q7YWX3
Q9UKD2	Q19302
Q9UKF6	Q95PY8
Q9UKG9	Q9XUN8
Q9UKI9	P41934
Q9UKK9	O61902
Q9UKL0	Q18919
Q9UKM7	Q22120
Q9UKU7	Q95YB2
Q9UKV5	P90859
Q9UKV8	G5EES3
Q9UKW4	Q45FX5
Q9UL03	B7WN63
Q9UL17	Q20257
Q9UL25	Q22045
Q9ULA0	Q19087
Q9ULC4	Q8MXH7
Q9ULH0	Q067Y1
Q9ULI1	O16302
Q9ULJ7	O18152
Q9ULJ8	H2KYW1
Q9ULK4	Q10669
Q9ULL1	G5EF62
Q9ULP9	H2KZ54
Q9ULQ0	Q19300
Q9ULR0	Q20716
Q9ULR3	A3QMB1
Q9ULT8	Q18447
Q9ULU8	Q23658
Q9ULV8	Q19019
Q9ULW3	O44734
Q9ULX3	Q9N3D3
Q9ULY5	Q20665
Q9ULZ9	G5EGM1
Q9UM00	Q19714
Q9UM11	Q09649
Q9UM13	Q2WF61
Q9UM54	Q9TZI9
Q9UM73	O76411
Q9UMS0	Q21915
Q9UMS4	Q10051
Q9UMX0	G5EFF7
Q9UMY4	Q9XW41
Q9UMZ2	P34550
Q9UN86	Q21351
Q9UNA1	H2KZV6
Q9UNE7	G5ECY6
Q9UNF0	Q6AHQ8
Q9UNH5	P81299
Q9UNH7	D9PTP5
Q9UNI6	Q9XXK8
Q9UNL2	Q95XS1
Q9UNM6	Q22253
Q9UNN5	H2L056
Q9UNP9	Q9U2S6
Q9UNQ0	Q9U2D0
Q9UNQ2	Q09522
Q9UNS2	Q9N425
Q9UNW9	Q9GRY9
Q9UNX4	Q19433
Q9UNY4	P91494
Q9UNZ2	Q9N2W5
Q9UP38	G5EEF7
Q9UP83	P91151
Q9UPI3	O01735
Q9UPM6	G5EEA1
Q9UPM9	Q21191
Q9UPN3	G5EDD3
Q9UPN7	B2D6K9
Q9UPS6	Q18221
Q9UPT5	P91149
Q9UPT6	P34609
Q9UPU5	G5EG81
Q9UPU7	Q23419
Q9UPW8	P27715
Q9UPY3	P34529
Q9UPY6	Q9XVK6
Q9UQ13	Q22875
Q9UQ80	Q9N5B3
Q9UQ84	O62245
Q9UQ90	G5EDB6
Q9UQE7	B2FDA8
Q9UQN3	O02208
Q9Y215	P20784
Q9Y217	G5EBF2
Q9Y221	P91154
Q9Y224	Q09526
Q9Y227	Q21815
Q9Y230	Q9GZH2
Q9Y234	O45303
Q9Y236	Q19910
Q9Y237	Q9NAF9
Q9Y248	O62193
Q9Y253	G5EFY1
Q9Y255	Q17476
Q9Y256	G5EEP3
Q9Y259	Q22942
Q9Y262	Q95QW0
Q9Y263	G5EES6
Q9Y265	O17607
Q9Y266	G5EE74
Q9Y272	O02139
Q9Y276	Q20755
Q9Y281	Q07750
Q9Y282	Q93878
Q9Y283	G5EBJ4
Q9Y284	Q09993
Q9Y285	Q9GYS8
Q9Y291	Q19685
Q9Y294	Q17603
Q9Y295	G5EGL2
Q9Y296	Q20100
Q9Y2A7	P55163
Q9Y2B0	Q95QN1
Q9Y2B2	D4YWC2
Q9Y2D1	Q9XUK2
Q9Y2D2	O16658
Q9Y2D4	Q18286
Q9Y2E4	Q1RS87
Q9Y2E8	G5EBN7
Q9Y2G5	Q8WR51
Q9Y2G8	Q95QQ1
Q9Y2G9	O01737
Q9Y2H1	Q2L6W9
Q9Y2H2	Q9U330
Q9Y2I7	G5ED98
Q9Y2I8	Q95X42
Q9Y2K5	Q9N4P3
Q9Y2K7	Q95Q98
Q9Y2L1	Q17632
Q9Y2L5	Q9BI63
Q9Y2M0	P90740
Q9Y2M2	H1UBK3
Q9Y2M5	O61795
Q9Y2Q0	C0P289
Q9Y2Q3	Q09652
Q9Y2Q5	Q9N2U6
Q9Y2Q9	Q9XWP0
Q9Y2R4	Q21736
Q9Y2R5	Q11189
Q9Y2R9	Q95Q11
Q9Y2S0	P34476
Q9Y2S2	C0VXV5
Q9Y2S7	Q95PW5
Q9Y2T2	Q20736
Q9Y2T3	Q20166
Q9Y2V7	Q21270
Q9Y2X3	O45012
Q9Y2X7	Q19467
Q9Y2Y1	Q9N4B7
Q9Y2Z0	Q18949
Q9Y2Z2	Q20680
Q9Y2Z4	H2KZL6
Q9Y2Z9	O01884
Q9Y303	P34480
Q9Y305	O16725
Q9Y312	Q09305
Q9Y314	Q21755
Q9Y315	Q19264
Q9Y316	Q22915
Q9Y320	Q18484
Q9Y324	Q93638
Q9Y333	P92022
Q9Y342	P83386
Q9Y365	O18155
Q9Y366	G5EDF6
Q9Y375	Q18726
Q9Y376	Q21643
Q9Y385	Q18931
Q9Y388	Q18318
Q9Y399	O17004
Q9Y3A0	P91428
Q9Y3A2	Q09462
Q9Y3A3	P34349
Q9Y3A4	Q23314
Q9Y3A5	Q23202
Q9Y3A6	Q21336
Q9Y3B1	O62173
Q9Y3B2	Q9XXD2
Q9Y3B3	O44738
Q9Y3B4	Q8ITY4
Q9Y3B6	Q93568
Q9Y3B7	P34264
Q9Y3B8	Q17819
Q9Y3B9	P91318
Q9Y3C0	O01901
Q9Y3C1	Q94402
Q9Y3C4	O44566
Q9Y3C5	Q17573
Q9Y3C6	Q18445
Q9Y3C7	P91869
Q9Y3C8	Q03598
Q9Y3D0	O62252
Q9Y3D2	P34436
Q9Y3D3	Q10129
Q9Y3D5	Q22483
Q9Y3D6	Q6AHP8
Q9Y3D7	O62250
Q9Y3D9	P34748
Q9Y3E0	Q20263
Q9Y3E2	P91375
Q9Y3E7	Q9GYK4
Q9Y3I0	P90838
Q9Y3M8	Q20440
Q9Y3P9	H2KZZ6
Q9Y3Q8	Q9U290
Q9Y3T9	O17580
Q9Y3U8	P49181
Q9Y3Z3	Q09374
Q9Y421	G5EDH3
Q9Y450	P90922
Q9Y462	Q21502
Q9Y466	Q9XVV3
Q9Y484	Q86MP3
Q9Y485	J7S122
Q9Y496	Q965T6
Q9Y4A5	G5EEV2
Q9Y4B4	Q18241
Q9Y4B6	Q21106
Q9Y4C0	I2HAJ6
Q9Y4C8	Q9XU67
Q9Y4D1	D6VPA1
Q9Y4E6	Q9BL05
Q9Y4F1	O17905
Q9Y4F4	Q17423
Q9Y4F9	O45268
Q9Y4G2	K8ESM7
Q9Y4G6	G5EGK1
Q9Y4I1	Q17383
Q9Y4L1	Q22515
Q9Y4P3	G5EFD7
Q9Y4P8	O16466
Q9Y4R8	Q95YE9
Q9Y4U1	Q7Z144
Q9Y4W6	Q9N3T5
Q9Y4X0	Q22004
Q9Y4X5	O01965
Q9Y4Y9	O18694
Q9Y4Z0	Q19952
Q9Y512	P46576
Q9Y519	G5EGF1
Q9Y535	Q23645
Q9Y548	H2KY99
Q9Y570	Q9BIB3
Q9Y580	Q9XWV4
Q9Y584	Q9NAQ9
Q9Y597	O17001
Q9Y5B0	Q95QG8
Q9Y5B6	G5ECH1
Q9Y5B9	Q9N5R9
Q9Y5F2	Q21035
Q9Y5J1	P42000
Q9Y5J7	Q17754
Q9Y5K1	Q22236
Q9Y5K5	Q09444
Q9Y5K8	P34462
Q9Y5L0	O17244
Q9Y5L4	O45319
Q9Y5M8	Q22013
Q9Y5N5	O16582
Q9Y5P4	Q93569
Q9Y5P6	A3QMC8
Q9Y5Q8	Q22093
Q9Y5Q9	Q95PV7
Q9Y5R2	O17913
Q9Y5R8	B1GRL5
Q9Y5S9	Q21832
Q9Y5T4	P91454
Q9Y5U8	Q21828
Q9Y5U9	Q7YTG6
Q9Y5V0	G4S035
Q9Y5W7	G5EF63
Q9Y5W8	Q9U2U6
Q9Y5Z6	Q8MQG4
Q9Y5Z7	G5EC23
Q9Y606	Q9XXN0
Q9Y617	P91856
Q9Y619	Q10050
Q9Y624	A8WFH3
Q9Y625	G5EGU4
Q9Y639	G5EGI7
Q9Y662	Q4TTA0
Q9Y672	Q09226
Q9Y673	Q8WSL9
Q9Y676	Q22470
Q9Y679	P34426
Q9Y680	O61826
Q9Y697	O61741
Q9Y6A4	Q86D25
Q9Y6A9	O44953
Q9Y6B6	Q23445
Q9Y6C9	H2KYJ5
Q9Y6D6	G5EFH7
Q9Y6D9	G5EFM0
Q9Y6E7	Q20480
Q9Y6G3	G5EFZ7
Q9Y6I3	Q9BI71
Q9Y6I4	Q9GRV2
Q9Y6I8	P91262
Q9Y6K0	G5EC09
Q9Y6M1	K8FE02
Q9Y6M5	Q95QW4
Q9Y6M7	B3WFV9
Q9Y6M9	Q18036
Q9Y6N1	Q95QD5
Q9Y6N5	J7SF87
Q9Y6R0	Q9XTY6
Q9Y6R4	Q960A2
Q9Y6T7	Q03603
Q9Y6V7	Q2WF63
Q9Y6W3	Q22143
Q9Y6X3	O17581
Q9Y6Y0	Q21854
Q9Y6Y1	H2KY84
