UniProt Acc	Sequence Name (Gene)
Q95ZL3	M01H9.3
Q5TYL1	M01H9.3
A5HU95	M01H9.3
A8WFN0	M01H9.4
A5HU96	M01H9.4
A8WFM9	M01H9.4
Q8MPT9	M01H9.5
Q21459	M02A10.1
Q94286	M02B7.1
Q94285	M02B7.2
Q94284	M02B7.4
Q94287	M02B7.5
Q21465	M02D8.1
Q21462	M02D8.2
Q21461	M02D8.3
Q21463	M02D8.4
Q8IG01	M02D8.4
Q65ZI9	M02D8.4
Q21464	M02D8.5
Q8IG02	M02D8.6
Q94290	M02E1.1
Q95Q45	M02E1.1
Q95Q46	M02E1.2
Q21472	M02F4.1
Q21470	M02F4.2
Q21469	M02F4.3
Q21471	M02F4.7
Q966H5	M02H5.2
Q966H7	M02H5.3
Q966H8	M02H5.4
Q966H9	M02H5.5
Q966I2	M02H5.8
Q966H6	M02H5.12
A9Z1K7	M03A1.3
Q21478	M03A1.6
Q8WQE0	M03A1.6
Q1W0R2	M03A1.6
Q1W0R2	M03A1.6
Q1W0R2	M03A1.6
Q21480	M03A8.2
B7WN56	M03A8.3
Q21491	M03D4.3
Q21494	M03D4.4
Q5TYL4	M03D4.4
Q21495	M03D4.6
Q21500	M03E7.1
Q21498	M03E7.2
Q21497	M03E7.3
Q21496	M03E7.4
Q21499	M03E7.5
Q23014	M03F4.4
Q23015	M03F4.6
Q23017	M03F4.7
Q7Z2A4	M03F4.7
O16378	M03F8.1
O16376	M03F8.3
A9D4S6	M03F8.3
O16374	M03F8.4
O16375	M03F8.5
O16379	M03F8.6
Q8ITW1	M4.1
Q95Y97	M04F3.1
Q95Y98	M04F3.2
Q95Y99	M04F3.3
Q95Y95	M04F3.5
O44179	M04G7.1
O44180	M04G7.2
O44181	M04G7.3
Q5W613	M04G7.3
Q21577	M6.4
Q9TYX9	M57.1
Q9TYY0	M57.2
Q9GYM9	M60.2
Q7Z2A7	M60.4
Q7Z2A6	M60.4
Q9GYM6	M60.6
Q9GYM5	M60.7
O45187	M70.1
O45186	M70.2
Q965J8	M70.3
Q965J9	M70.3
Q688B0	M70.4
O45188	M70.5
Q688B6	M116.1
O44521	M116.2
Q7KPW1	M116.4
Q965L0	M116.5
O17121	M151.1
O17119	M151.2
O17118	M151.3
O17117	M151.4
O17120	M151.5
O17122	M151.6
Q965L8	M151.7
P34496	PAR2.1
P45894	PAR2.3
P45894	PAR2.3
Q21611	PDB1.1
Q2L6X5	PDB1.1
Q2L6X4	PDB1.1
O61972	R01B10.2
O61974	R01B10.3
O61975	R01B10.4
Q9BMT9	R01B10.5
Q8MXG1	R01B10.6
Q21631	R01H2.1
Q21628	R01H2.2
Q21629	R01H2.3
Q21630	R01H2.4
Q21632	R01H2.5
O44547	R02C2.1
O44546	R02C2.2
O44543	R02C2.4
Q86S44	R02C2.6
Q7KPV8	R02C2.7
O44503	R02D3.1
O44502	R02D3.2
O44499	R02D3.3
O44500	R02D3.4
O44501	R02D3.5
O44505	R02D3.7
Q9TZZ9	R02D3.8
Q2L6X3	R02E4.1
Q21643	R02E12.2
Q7Z2A5	R02E12.2
Q21641	R02E12.4
Q21640	R02E12.5
Q21642	R02E12.6
Q95QC0	R02F2.1
Q95QC1	R02F2.1
Q8IFZ9	R02F2.1
Q8IFZ8	R02F2.1
Q21653	R02F2.2
Q21650	R02F2.4
Q21648	R02F2.5
Q21647	R02F2.6
Q21649	R02F2.7
Q21652	R02F2.8
Q95QC2	R02F2.9
O16364	R02F11.1
O16363	R02F11.2
O16365	R02F11.3
Q5ZR77	R02F11.3
O16366	R02F11.4
Q21662	R03E9.2
Q58QG8	R03E9.3
Q45EK3	R03E9.3
Q58G79	R03E9.3
A8WFJ2	R03E9.3
Q21667	R03G5.3
A8WFK6	R03G5.5
A8WFK7	R03G5.5
Q21668	R03G5.6
Q8MQ01	R03G5.7
Q21687	R03H4.1
Q21686	R03H4.4
Q21688	R03H4.5
Q9GYL7	R03H10.1
Q9GYM4	R03H10.2
Q9GYM2	R03H10.4
Q9GYM0	R03H10.5
Q9GYL9	R03H10.6
Q9GYL8	R03H10.7
Q21695	R04A9.1
Q21691	R04A9.2
Q21692	R04A9.3
Q86DC2	R04A9.5
Q95QB9	R04A9.6
Q21696	R04B3.1
Q21697	R04B3.2
Q21698	R04B3.3
Q9GYL2	R04E5.2
Q9GYL5	R04E5.7
Q9GYL4	R04E5.8
Q86DC5	R04E5.8
Q9GYL3	R04E5.9
Q9TYQ0	R05C11.1
Q9TYQ1	R05C11.2
Q9TYP9	R05C11.3
P34534	R05D3.1
P34535	R05D3.2
P34536	R05D3.3
P34538	R05D3.5
P34539	R05D3.6
P34541	R05D3.8
P34542	R05D3.9
P34544	R05D3.11
Q8MQ00	R05D3.12
B3GW98	R05D3.12
Q9N5G4	R05D8.7
Q9N5G2	R05D8.9
Q9N5F7	R05D8.11
Q21748	R05F9.1
Q21747	R05F9.1
Q86NF2	R05F9.1
Q7JP41	R05F9.1
Q21742	R05F9.6
Q21741	R05F9.7
Q21745	R05F9.9
Q21746	R05F9.10
Q21749	R05F9.11
Q21750	R05F9.12
Q21760	R05G6.1
Q21755	R05G6.4
Q21753	R05G6.5
Q21752	R05G6.7
Q21756	R05G6.9
Q21758	R05G6.10
Q966H0	R05G9.1
Q966H2	R05G9.2
Q65XY3	R05G9.2
Q966H1	R05G9.3
Q965Y7	R05G9R.1
Q21761	R05H11.1
Q8IFZ7	R05H11.2
O44746	R06A10.1
O44745	R06A10.3
O44747	R06A10.4
O44875	R06B10.1
O44874	R06B10.2
O44871	R06B10.3
O44873	R06B10.5
Q8IA65	R06B10.7
O16778	R07C3.1
O16777	R07C3.2
O16776	R07C3.3
O16775	R07C3.4
O16774	R07C3.5
O16771	R07C3.6
A3KFD9	R07C3.7
O16768	R07C3.8
O16767	R07C3.9
O16766	R07C3.10
O16765	R07C3.11
O16770	R07C3.12
O16772	R07C3.13
O16773	R07C3.14
O44525	R07C12.1
O44524	R07C12.2
O44523	R07C12.3
Q95X68	R07C12.4
Q5WRT6	R07E4.1
Q5WRT5	R07E4.1
Q21817	R07E4.3
Q21816	R07E4.5
Q09611	R07G3.2
Q5WRT8	R07G3.3
Q5WRT9	R07G3.3
Q1NZ34	R07G3.3
Q09422	R07G3.5
Q09423	R07G3.6
Q09424	R07G3.7
Q09424	R07G3.7
Q09387	R07G3.8
Q21845	R08C7.1
Q21844	R08C7.2
Q86MH1	R08C7.2
Q2L6W0	R08C7.2
Q27511	R08C7.3
Q21841	R08C7.4
Q21839	R08C7.5
Q21837	R08C7.6
Q21840	R08C7.8
Q21842	R08C7.9
Q21843	R08C7.10
Q95ZR0	R08C7.10
Q95ZQ9	R08C7.10
Q21846	R08C7.11
Q9GQ60	R08C7.12
Q86MH2	R08C7.13
Q21850	R08E3.1
Q7Z1P7	R08E3.1
Q21849	R08E3.2
Q21848	R08E3.3
Q7JP60	R08E3.3
Q5WRS1	R08E3.4
Q5WRS2	R08E3.4
O01594	R08E5.1
O01592	R08E5.2
Q86NC6	R08E5.2
Q86NC5	R08E5.2
O01593	R08E5.3
O01595	R08E5.4
O01893	R08F11.1
O01890	R08F11.2
O02641	R08F11.3
O01889	R08F11.4
O01891	R08F11.6
O01892	R08F11.7
O61931	R09A1.1
O61932	R09A1.2
O61933	R09A1.3
Q95X32	R09A1.5
O44617	R09B5.1
O44607	R09B5.4
O44608	R09B5.6
O44616	R09B5.11
O44609	R09B5.12
Q5F4U9	R09E12.1
O16260	R09E12.2
O16259	R09E12.3
Q23030	R09F10.1
Q23026	R09F10.3
Q23028	R09F10.5
Q23031	R09F10.8
Q21885	R09H3.1
Q9U390	R09H3.3
P91403	R10A10.1
P91404	R10A10.2
Q5F4W0	R10F2.1
O01910	R10F2.4
O01911	R10F2.5
O01913	R10F2.6
Q10043	R10H1.1
Q09344	R10H1.2
Q09344	R10H1.2
Q9TYX4	R11E3.1
Q9TYX7	R11E3.2
Q9TYX6	R11E3.4
Q21944	R11F4.1
Q21943	R11F4.2
Q7JPB1	R11F4.2
Q21941	R11F4.3
Q21948	R11G1.1
Q2L6W8	R11G1.2
Q8MPZ6	R11G1.6
Q8MPZ5	R11G1.6
Q7Z1P9	R11G1.6
Q7Z1P8	R11G1.6
O16959	R11G11.3
O16949	R11G11.6
O16954	R11G11.12
O16956	R11G11.14
O16701	R12A1.3
Q21954	R12B2.2
Q21953	R12B2.3
P45898	R12B2.6
Q8MPZ4	R12B2.7
Q21962	R12C12.1
Q86LS6	R12C12.1
Q21957	R12C12.3
Q21958	R12C12.4
Q21959	R12C12.5
Q21960	R12C12.6
Q2L6Y3	R12C12.6
Q21963	R12C12.7
Q21964	R12C12.8
Q86LS5	R12C12.8
Q21956	R12C12.9
Q8IFZ5	R12C12.9
O61795	R12E2.1
O61794	R12E2.2
O61783	R12E2.6
O61784	R12E2.7
O61785	R12E2.8
O61789	R12E2.10
O61790	R12E2.11
O61791	R12E2.12
O61793	R12E2.13
O61782	R12E2.14
O61781	R12E2.15
D0VWL9	R13A1.1
Q21975	R13A1.3
Q95ZQ7	R13A1.5
Q21976	R13A1.7
Q21978	R13A1.8
Q7YXH3	R13A1.9
Q95Y92	R13A5.3
Q95Y94	R13A5.4
Q95Y93	R13A5.6
Q95Y91	R13A5.7
Q95Y88	R13A5.9
Q95Y87	R13A5.10
Q95Y86	R13A5.11
Q966G4	R13D7.2
Q966G5	R13D7.10
O17016	R13D11.1
O17015	R13D11.3
O17014	R13D11.4
O17010	R13D11.6
O17013	R13D11.8
Q965M0	R13D11.10
Q95QB8	R13F6.1
Q21985	R13F6.2
Q21981	R13F6.5
Q21984	R13F6.8
Q21986	R13F6.10
Q3S1L8	R13H7.2
Q3S1L9	R13H7.2
Q3S1L7	R13H7.2
Q966G0	R13H9.1
Q966G2	R13H9.5
Q966G1	R13H9.6
O17297	R52.1
O17288	R52.3
O17289	R52.4
O17290	R52.5
O17291	R52.6
O17293	R52.8
O17294	R52.9
P91406	R57.1
P91406	R57.1
Q4Z8H5	R57.1
P91405	R57.2
Q21897	R105.1
Q23032	R106.1
Q23033	R106.2
O61712	R119.1
O61710	R119.2
O61709	R119.3
O61706	R119.5
O61711	R119.7
Q09345	R144.2
Q8IFZ4	R144.2
Q304E9	R144.3
Q09999	R144.4
Q8WT46	R144.4
Q09346	R144.5
Q10000	R144.6
D5MCN1	R144.7
D5MCN2	R144.7
Q9BI75	R144.10
Q95QB7	R144.11
O17269	R148.1
A6PVA9	R148.1
O17268	R148.2
O17267	R148.3
Q8ITY8	R148.3
O17266	R148.4
O17265	R148.5
Q8ITY9	R148.5
O17270	R148.7
Q21995	R151.1
Q21994	R151.2
Q9BI73	R151.2
Q95QB6	R151.2
Q6AHR3	R151.2
Q7YZW6	R151.4
R151.4b	R151.4
Q21997	R151.6
Q2L6Y6	R151.7
Q2L6Y7	R151.7
Q21999	R151.8
Q21993	R151.9
Q9Y1A1	R151.10
Q22000	R153.1
Q22000	R153.1
Q22000	R153.1
Q22000	R153.1
Q22000	R153.1
Q22000	R153.1
Q2V4U0	R153.1
O01925	R155.1
Q86DC4	R155.1
C3JXD8	R155.2
O01923	R155.3
O01922	R155.4
Q9TZD1	R160.2
Q9TZD5	R160.3
Q9TZD4	R160.4
Q9TZD3	R160.5
Q9TZD2	R160.6
Q22008	R173.3
Q8MPY9	R173.4
Q9N5F4	R193.1
Q9N5F6	R193.2
Q9N5F5	R193.3
Q22040	SSSD1.1
Q965F8	T01A4.1
Q965F7	T01A4.1
Q86GV3	T01A4.1
Q9TXR2	T01A4.1
Q8MPT5	T01B6.3
Q8MPT4	T01B6.3
Q95ZK8	T01B6.4
O02152	T01B10.5
P91407	T01B11.1
P91408	T01B11.2
Q86MH5	T01B11.2
P91410	T01B11.4
Q94298	T01C4.1
Q95ZQ4	T01C8.1
Q95ZQ4	T01C8.1
Q95ZQ4	T01C8.1
Q22065	T01C8.2
Q22064	T01C8.3
Q22066	T01C8.4
Q22067	T01C8.5
P91415	T01D1.3
P91416	T01D1.4
P91418	T01D1.5
O16969	T01G6.1
O16965	T01G6.5
O16964	T01G6.6
B1GRK7	T01G6.6
O16971	T01G6.10
Q86S53	T02B11.3
Q86S52	T02B11.3
O16973	T02B11.4
O16976	T02B11.6
Q22095	T02C5.1
Q7YZH3	T02C5.1
Q22096	T02C5.3
A7LPD6	T02C5.3
Q22110	T02G5.1
Q22108	T02G5.2
Q22107	T02G5.3
Q22106	T02G5.4
Q22101	T02G5.7
Q22105	T02G5.11
Q22109	T02G5.12
Q22111	T02G5.13
Q22111	T02G5.13
Q8WQD4	T02G5.14
A9D0C3	T02H6.1
A9D0C6	T02H6.1
Q9N5E3	T02H6.2
Q9N5E5	T02H6.3
Q9N5E6	T02H6.4
Q9N5E7	T02H6.5
Q9N5E8	T02H6.6
Q9N5E9	T02H6.7
Q9N5F0	T02H6.8
Q9N5F2	T02H6.9
Q9N5F1	T02H6.10
Q9N5E4	T02H6.11
O16988	T03D3.1
O16979	T03D3.5
P91430	T03F1.1
P91427	T03F1.3
P91420	T03F1.5
P91421	T03F1.6
Q95Q44	T03F1.6
P91424	T03F1.7
P91425	T03F1.8
A5HU98	T03F1.8
P91429	T03F1.10
P91423	T03F1.11
Q8I7G0	T03F1.12
Q22128	T03G6.1
Q22129	T03G6.3
Q22122	T03G11.3
Q22120	T03G11.4
Q22123	T03G11.6
Q8MPY3	T04A6.1
Q8MPY2	T04A6.1
Q22131	T04A6.2
C8JQP4	T04A6.3
C8JQP3	T04A6.3
O44849	T04B8.1
O44848	T04B8.2
O44847	T04B8.3
O44846	T04B8.5
Q6A583	T04B8.5
Q1RS85	T04B8.5
Q4A574	T04C4.1
Q4A573	T04C4.1
Q4A572	T04C4.1
Q9GP90	T04C9.1
Q8MPT3	T04C9.1
Q8MPT2	T04C9.1
Q9GP91	T04C9.2
Q9GP92	T04C9.3
O61844	T04D1.2
Q22173	T04G9.1
Q22171	T04G9.4
Q22169	T04G9.5
Q22172	T04G9.6
Q9TXQ6	T04G9.7
Q22207	T05A7.1
Q22205	T05A7.2
Q22206	T05A7.3
Q22202	T05A7.5
Q22203	T05A7.6
Q22208	T05A7.7
Q22209	T05A7.8
Q95ZQ1	T05A7.9
O44860	T05A8.1
O44859	T05A8.2
O44858	T05A8.3
O44857	T05A8.4
O44856	T05A8.5
O44855	T05A8.6
Q965K7	T05A8.7
Q9GYK8	T05A12.3
Q5WRS6	T05A12.4
Q5WRS5	T05A12.4
O16426	T05B4.1
O16424	T05B4.3
O16423	T05B4.4
O16417	T05B4.8
O16418	T05B4.9
O16419	T05B4.10
O16420	T05B4.11
O16421	T05B4.12
O16422	T05B4.13
Q22212	T05B11.1
P90961	T05B11.3
Q22213	T05B11.4
Q22217	T05C1.1
Q22218	T05C1.2
Q22219	T05C1.3
Q22221	T05C1.4
Q86NE6	T05C1.4
Q629J3	T05C1.4
Q22220	T05C1.5
O16302	T05C3.2
A6PVA3	T05C3.6
A6PVA4	T05C3.6
O01862	T05E7.1
O01858	T05E7.3
O01859	T05E7.4
O01861	T05E7.5
O01596	T05E8.1
O01598	T05E8.3
O16526	T05H4.1
O16525	T05H4.2
O16524	T05H4.3
O16522	T05H4.4
O16521	T05H4.5
O16520	T05H4.6
O16512	T05H4.7
O16515	T05H4.10
O16516	T05H4.11
O16517	T05H4.12
O16523	T05H4.15
Q86S56	T05H4.15
Q2Z1P0	T05H4.15
O61930	T06A1.1
A3KFE5	T06A1.4
O61929	T06A1.5
Q9TZH1	T06A4.1
Q86S22	T06A4.1
Q9TZH3	T06A4.2
Q6A577	T06A4.3
Q6A576	T06A4.3
A3QMD4	T06A10.1
A3QMD6	T06A10.3
A3QMD7	T06A10.4
Q22246	T06C10.2
Q22243	T06C10.3
O16649	T06D4.1
A7DT37	T06D4.1
O16650	T06D4.2
O16651	T06D4.3
O16652	T06D4.4
Q95ZP7	T06F4.1
Q95ZP6	T06F4.1
O44415	T07A9.1
O44410	T07A9.8
O44411	T07A9.9
O44411	T07A9.9
Q86FQ4	T07A9.9
O44412	T07A9.10
Q95X70	T07A9.12
Q8MXI5	T07A9.12
Q95X71	T07A9.13
Q5F4U5	T07A9.13
Q22302	T07D1.2
Q22303	T07D1.3
Q95QB4	T07D1.5
O16727	T07D3.1
O16726	T07D3.2
O16724	T07D3.3
O16723	T07D3.4
O16722	T07D3.5
O16721	T07D3.6
O16725	T07D3.9
Q86S55	T07D3.9
Q22313	T07E3.2
Q22312	T07E3.3
Q22310	T07E3.4
Q8IFZ1	T07E3.4
Q22311	T07E3.5
Q8WQD1	T07E3.6
Q8WQD2	T07E3.6
P91440	T07F8.1
P91439	T07F8.2
P91437	T07F8.4
Q22323	T07F12.1
Q22322	T07F12.2
Q22321	T07F12.3
Q22324	T07F12.4
O76610	T07H3.2
D6VPA0	T07H3.3
O76608	T07H3.4
O76609	T07H3.5
O76611	T07H3.6
Q95ZP3	T07H6.1
Q8T3D3	T07H6.1
Q22327	T07H6.4
O61898	T07H8.7
Q22342	T08A9.1
Q22341	T08A9.2
Q22335	T08A9.4
Q22334	T08A9.5
Q22333	T08A9.6
Q8MPX6	T08A9.11
A8WFJ0	T08A9.11
O44557	T08B1.1
O44559	T08B1.5
O44560	T08B1.6
Q9GYS4	T08B2.3
Q9GYS5	T08B2.4
Q9GYS7	T08B2.5
Q9BIC2	T08B2.5
Q8T8N7	T08B2.5
Q8MNW1	T08B2.5
Q86NK1	T08B2.5
Q86NK0	T08B2.5
Q86NJ9	T08B2.5
Q9GYT0	T08B2.7
Q9BIC3	T08B2.7
Q8T8N8	T08B2.7
Q9GYS9	T08B2.8
Q9GYS6	T08B2.11
Q9GYS3	T08B2.12
O44531	T08B6.1
O44527	T08B6.4
O44530	T08B6.5
Q86MH6	T08B6.9
O76644	T08E11.1
O76642	T08E11.2
O76641	T08E11.3
O76640	T08E11.4
O76639	T08E11.5
O76637	T08E11.6
O76638	T08E11.7
O76643	T08E11.8
Q22346	T08G2.2
Q22347	T08G2.3
Q22353	T08H4.2
Q22355	T08H4.3
Q22352	T08H10.1
Q22349	T08H10.3
Q22351	T08H10.4
O61221	T09A12.1
O45183	T09A12.2
Q7YXH6	T09A12.2
Q8MXH3	T09A12.5
O02164	T09B4.1
O02163	T09B4.2
O02160	T09B4.3
O02159	T09B4.4
O02155	T09B4.5
Q86NC3	T09B4.5
O02156	T09B4.6
O02157	T09B4.7
O02158	T09B4.8
O02161	T09B4.9
Q23036	T09D3.3
Q23038	T09D3.4
O61935	T09H2.1
O76408	T10B5.2
O76407	T10B5.3
O76405	T10B5.4
Q9TZS5	T10B5.5
Q86S29	T10B5.5
O76406	T10B5.6
O76409	T10B5.7
O76410	T10B5.8
Q86S30	T10B5.10
Q9TZH6	T10B11.1
Q9TZI1	T10B11.2
Q9TZI2	T10B11.3
Q9TZI0	T10B11.4
Q9TZH9	T10B11.5
Q9TZH8	T10B11.6
C6S3L7	T10B11.7
C6S3L8	T10B11.7
Q9TZH5	T10B11.8
C6S3L9	T10B11.8
Q1ENI7	T10D4.1
Q9TZF2	T10D4.3
Q9TZF5	T10D4.6
Q9TZF6	T10D4.7
Q9TZE7	T10D4.11
O01606	T10E9.1
O01605	T10E9.2
O01603	T10E9.3
O01600	T10E9.4
O01599	T10E9.5
O01601	T10E9.6
O01602	T10E9.7
Q86NC2	T10E9.7
O01604	T10E9.8
O01607	T10E9.9
Q22377	T10E10.3
Q22378	T10E10.4
Q10050	T10F2.2
Q10051	T10F2.4
O76412	T10H9.1
O76413	T10H9.3
P91442	T10H10.2
P91441	T10H10.3
Q9U8C5	T11F1.2
Q9U8C6	T11F1.3
Q9U8C9	T11F1.6
B3CJ43	T11F1.7
B3CJ44	T11F1.7
B3CJ42	T11F1.8
O44194	T11F8.1
O44193	T11F8.2
O44192	T11F8.4
Q22419	T12A2.1
P46975	T12A2.2
Q22415	T12A2.3
Q22414	T12A2.5
Q22416	T12A2.6
Q22417	T12A2.7
Q22418	T12A2.8
O76835	T12A2.15
O76834	T12A2.15
Q9UAX0	T12B3.1
Q9UAW9	T12B3.2
Q9UAW8	T12B3.3
Q9UAX1	T12B3.4
Q9TZ19	T12B5.1
Q9TZ21	T12B5.2
Q9TZ22	T12B5.3
Q9TZ23	T12B5.4
Q9TZ28	T12B5.5
Q2WF54	T12B5.6
Q2WF55	T12B5.6
Q9TZ29	T12B5.7
Q9TZ27	T12B5.8
Q9TZ26	T12B5.10
Q9TZ24	T12B5.11
Q9TZ25	T12B5.13
Q95QB3	T12C9.1
A9Z1K5	T12C9.7
A9Z1K4	T12C9.7
A9Z1K6	T12C9.7
Q22431	T12E12.1
Q22430	T12E12.2
Q22429	T12E12.3
A5A631	T12E12.6
O44761	T12F5.1
O44759	T12F5.2
Q22449	T13A10.1
Q22441	T13A10.2
O17373	T13B5.3
O17375	T13B5.5
O17376	T13B5.6
O17377	T13B5.7
O17378	T13B5.8
A9D649	T13B5.8
Q965L2	T13B5.9
Q6AHP7	T13C2.2
Q22454	T13C2.3
Q7JP78	T13C2.3
Q22453	T13C2.4
Q7JP81	T13C2.6
Q7JP80	T13C2.6
Q7JP79	T13C2.7
Q22458	T13C5.2
Q22457	T13C5.3
Q22459	T13C5.4
Q22461	T13C5.6
Q8T3C9	T13C5.7
Q966F5	T13G4.1
Q966F7	T13G4.2
D3KZG3	T13G4.3
Q966F6	T13G4.4
Q966F4	T13G4.5
Q966F3	T13G4.6
Q966F2	T13G4.7
Q8MPX4	T13H2.5
Q22463	T13H2.5
Q22484	T14B4.1
Q22483	T14B4.2
Q22482	T14B4.3
Q22478	T14B4.5
Q22480	T14B4.8
Q22481	T14B4.9
Q22489	T14E8.1
Q95QB0	T14E8.1
Q6AHP3	T14E8.1
Q22488	T14E8.2
Q6RYS9	T14E8.3
Q6RYS9	T14E8.3
Q6RYS9	T14E8.3
Q6RYS9	T14E8.3
Q22494	T14F9.1
Q22493	T14F9.2
Q22492	T14F9.3
Q22506	T14G11.1
Q22505	T14G11.3
Q22512	T14G12.6
Q5ZR75	T15B7.1
O17040	T15B7.2
O17033	T15B7.6
O17032	T15B7.7
O17031	T15B7.8
O17027	T15B7.10
O17029	T15B7.11
O17030	T15B7.12
O17034	T15B7.13
O17037	T15B7.14
O17039	T15B7.15
O17041	T15B7.16
O17028	T15B7.17
Q22517	T15B12.1
Q22518	T15B12.2
Q2PJ79	T16A1.1
Q2L6V5	T16A1.1
P91451	T16A1.2
P91446	T16A1.3
P91444	T16A1.4
P91445	T16A1.5
P91449	T16A1.8
Q22526	T16D1.1
Q3V5H4	T17A3.2
O76691	T17A3.3
O76692	T17A3.4
O76693	T17A3.6
O76694	T17A3.7
O76696	T17A3.9
O76697	T17A3.10
Q8MXF8	T17A3.12
P46548	T17E9.2
Q95ZN7	T17E9.2
Q8MPX2	T17E9.2
Q22537	T17H7.1
Q22539	T17H7.7
Q22554	T19A5.1
Q22552	T19A5.3
Q7JNX5	T19A5.3
Q9UB40	T19A5.5
P83388	T19B4.1
P91455	T19B4.3
P91453	T19B4.5
Q22566	T19C3.1
Q10008	T19C3.2
Q10009	T19C3.3
Q10010	T19C3.4
Q10011	T19C3.5
Q10012	T19C3.6
Q95QA1	T19C3.7
Q7YZH4	T19C3.9
Q22580	T19D2.1
Q22581	T19D2.3
Q22588	T19D7.1
B1Q244	T19D7.3
Q22585	T19D7.4
Q22586	T19D7.5
Q22587	T19D7.6
Q9N4P5	T19D7.7
Q22579	T19D12.1
Q86ND6	T19D12.2
Q86ND3	T19D12.2
Q86ND4	T19D12.2
Q22577	T19D12.3
O76836	T19D12.4
Q2V4T0	T19D12.4
Q22573	T19D12.5
Q22574	T19D12.6
Q22575	T19D12.7
O76837	T19D12.9
O76838	T19D12.10
Q22591	T19E7.1
Q95QA0	T19F4.1
Q22595	T19F4.1
O01617	T19H12.1
A6ZJ37	T19H12.1
O01615	T19H12.2
Q8MPT1	T19H12.3
O01610	T19H12.6
O01612	T19H12.8
O01614	T19H12.9
O01616	T19H12.10
Q3S1L2	T19H12.11
Q22600	T20B5.2
Q1WBU8	T20B5.3
A8WFI7	T20B5.3
O02048	T20B6.1
O02047	T20B6.2
O02049	T20B6.3
P41842	T20B12.1
P41843	T20B12.3
P41844	T20B12.4
P41845	T20B12.5
P41847	T20B12.7
P41849	T20B12.9
Q7KX62	T20C7.2
P91475	T20D4.1
P91474	T20D4.2
P91472	T20D4.3
P91471	T20D4.4
P91470	T20D4.5
P91469	T20D4.6
P91468	T20D4.7
P91467	T20D4.8
P91466	T20D4.9
Q2L6V7	T20D4.10
P91464	T20D4.11
P91463	T20D4.12
P91459	T20D4.13
P91460	T20D4.15
P91461	T20D4.16
P91462	T20D4.17
P91473	T20D4.18
P91476	T20D4.19
P91478	T20F5.3
P91479	T20F5.4
P91481	T20F5.5
P91482	T20F5.6
P91483	T20F5.7
O02169	T20F7.1
O02167	T20F7.3
O02165	T20F7.5
O02168	T20F7.6
O02171	T20F7.7
Q22621	T20H4.2
Q22619	T20H4.5
O44892	T20H9.1
O44888	T20H9.2
O44889	T20H9.3
O44890	T20H9.4
O44893	T20H9.6
O16618	T20H12.1
Q22652	T21D9.2
Q22650	T21D11.1
O16786	T21D12.3
Q965M2	T21D12.9
O16779	T21D12.9
Q965M3	T21D12.9
O16783	T21D12.11
O16784	T21D12.12
O01767	T21E3.1
O01766	T21E3.2
P91486	T21E12.2
P91484	T21E12.3
P91485	T21E12.5
Q2PJ96	T21F2.1
Q2PJ95	T21F2.1
Q22659	T21F4.1
O02064	T21G5.1
O02062	T21G5.2
O02063	T21G5.4
O16308	T21H3.1
Q4W525	T21H3.1
O16304	T21H3.4
O16306	T21H3.5
O45195	T22B2.1
O45194	T22B2.2
O45193	T22B2.3
O45191	T22B2.5
O45192	T22B2.6
O45190	T22B2.7
Q23042	T22B7.3
Q23039	T22B7.4
Q23044	T22B7.7
O44564	T22B11.1
O44563	T22B11.2
O44562	T22B11.3
O44561	T22B11.4
Q86MJ7	T22B11.4
O61199	T22B11.5
Q9GZH0	T22D1.1
Q9GZH1	T22D1.2
Q9GZH3	T22D1.3
Q86DL2	T22D1.3
Q9GZH4	T22D1.4
Q9GZH6	T22D1.5
Q9GZH8	T22D1.6
Q9GZH7	T22D1.8
Q9GZH2	T22D1.10
Q9GZG9	T22D1.11
Q9GZG8	T22D1.12
Q22681	T22E5.3
Q22684	T22E5.6
Q9N5D7	T22E7.1
Q86S81	T22E7.1
Q9N5D8	T22E7.2
Q94301	T22F3.2
Q8MPT0	T22F3.2
Q9N5U1	T22F3.3
Q86NC1	T22F3.3
Q94304	T22F3.7
Q94305	T22F3.8
Q94306	T22F3.10
Q94307	T22F3.11
Q86NC0	T22F3.11
Q22686	T22F7.1
Q22685	T22F7.3
Q8MP14	T22F7.4
Q8WQC6	T22F7.5
Q8MNX1	T22H9.1
Q9TXN6	T22H9.2
Q86S17	T22H9.2
Q9TXN7	T22H9.3
Q9TXN8	T22H9.4
P91492	T23B3.1
A8WFN5	T23B3.1
P91491	T23B3.2
P91490	T23B3.3
P91487	T23B3.4
P91488	T23B3.5
P91489	T23B3.6
Q22693	T23B7.1
O17006	T23B12.1
O17005	T23B12.2
O17004	T23B12.3
O17003	T23B12.4
O17000	T23B12.5
O17001	T23B12.6
O17007	T23B12.8
A7DT38	T23B12.8
O02039	T23C6.3
O02040	T23C6.4
O02043	T23C6.5
O45205	T23E1.1
O45204	T23E1.2
Q86FL9	T23E1.3
O17339	T23E7.2
O17338	T23E7.2
Q9TXR9	T23E7.2
Q9TXR8	T23E7.2
Q8MXJ1	T23E7.2
Q8MPV7	T23F2.2
Q8MPV6	T23F2.2
Q22700	T23F2.3
Q22701	T23F2.4
Q22702	T23F2.5
O17262	T23F4.1
O17261	T23F4.2
O17263	T23F4.3
